StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Idade,Região,Classe,Frequência,Lugar,Marcas,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q53,Q54,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização
2024-06-15 14:21:29,2024-06-15 14:34:00,IP Address,187.66.240.179,100,750,True,2024-06-15 14:34:01,R_1jRomFXrTe406YN,,,,,-20.5378,-47.4016,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,9,"Qualidade dos produtos,Design,Conforto",Preço,Sim,5,5,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",Influenciadores,5,4,3,2,1,1 ou 2 vez(es) na semana,3,Eventos sociais (festas e celebrações)
2024-06-18 01:15:06,2024-06-18 01:19:18,IP Address,189.6.31.248,100,252,True,2024-06-18 01:19:19,R_77q9Ro80J2uO1La,,,,,-15.7783,-47.9319,anonymous,EN,45 a 54 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal,Atualização de modelos","Preço,Diversificação de modelos",Sim,5,5,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Rede Sociais,5,4,3,1,2,1 ou 2 vez(es) na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 19:24:55,2024-06-11 19:33:34,IP Address,191.17.131.254,60,518,False,2024-06-18 19:33:35,R_7VImNnlKXctgE1N,,,,,,,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal","Preço,Outros",Sim,,,,,,,,,,,,
2024-06-12 07:02:27,2024-06-12 07:03:56,IP Address,177.22.42.185,60,88,False,2024-06-19 07:04:06,R_5ojBr2XF0GJa2mf,,,,,,,anonymous,EN,55 a 64 anos,Nordeste,Classe A: Renda familiar acima de R$ 11.262 por mês.," A cada dois anos",Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Design,Conforto",Preço,Sim,,,,,,,,,,,,
2024-06-12 11:57:57,2024-06-12 12:02:48,IP Address,152.255.122.6,60,291,False,2024-06-19 12:02:53,R_7f10S0Nq1MXpMKU,,,,,,,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal","Design,Preço,Diversificação de modelos",Sim,,,,,,,,,,,,
2024-06-12 12:05:19,2024-06-12 12:06:49,IP Address,177.222.220.68,60,90,False,2024-06-19 12:06:53,R_1li69hTdSn89DeS,,,,,,,anonymous,EN,45 a 54 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Trabalho artesanal,Inovação",Preço,Sim,,,,,,,,,,,,
2024-06-12 13:35:46,2024-06-12 13:38:03,IP Address,189.40.103.72,60,137,False,2024-06-19 13:38:07,R_3A90PmnPqHTuN6V,,,,,,,anonymous,EN,55 a 64 anos,Nordeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,9,"Qualidade dos produtos,Design,Conforto,Atualização de modelos",Preço,Sim,,,,,,,,,,,,
2024-06-12 13:05:12,2024-06-12 13:50:44,IP Address,179.208.206.154,60,2731,False,2024-06-19 13:50:59,R_7Nn4OGj7LLKg5Sq,,,,,,,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,Outras,Outro,,,"Qualidade dos produtos,Design,Sustentabilidade,Outros","Qualidade dos produtos,Design,Conforto,Trabalho artesanal,Sustentabilidade,Diversificação de modelos",Sim,,,,,,,,,,,,
2024-06-12 14:16:14,2024-06-12 14:18:12,IP Address,189.96.224.237,60,117,False,2024-06-19 14:18:15,R_1CwRmyAl9M73Fhw,,,,,,,anonymous,EN,25 a 34 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,9,"Qualidade dos produtos,Design,Trabalho artesanal","Design,Preço",Sim,,,,,,,,,,,,
2024-06-12 18:15:16,2024-06-12 18:18:14,IP Address,177.84.238.97,60,177,False,2024-06-19 18:18:15,R_3tDVj2x3LC6GnFw,,,,,,,anonymous,EN,45 a 54 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Lojas físicas,"Arezzo,Paula Torres,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Trabalho artesanal,Inovação","Qualidade dos produtos,Design,Conforto",Sim,,,,,,,,,,,,
2024-06-21 10:07:39,2024-06-21 10:21:33,IP Address,164.85.79.206,100,834,True,2024-06-21 10:21:34,R_1SdgoOr4Oj8lZSr,,,,,-22.9201,-43.0811,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Passive,8,"Qualidade dos produtos,Conforto,Trabalho artesanal,Atualização de modelos","Preço,Outros",Sim,4,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Influenciadores,1,2,3,5,4,1 ou 2 vez(es) por mês,2,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-21 10:23:49,2024-06-21 10:29:37,IP Address,104.28.63.138,100,347,True,2024-06-21 10:29:37,R_5xGl7fNlxl6gaA9,,,,,-25.4202,-49.2762,anonymous,EN,35 a 44 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Conforto,Trabalho artesanal",Preço,Sim,5,3,Procura pelo produto específico na internet,Recomendação,4,3,1,2,5,1 ou 2 vez(es) na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-21 12:13:09,2024-06-21 12:17:39,IP Address,191.9.11.155,100,269,True,2024-06-21 12:17:40,R_6F4E5r1bZUqQNRY,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Tatiana Loureiro,Paula Torres,Alexandre Birman",Loja física,Passive,8,"Qualidade dos produtos,Design","Design,Preço",Sim,4,4,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Campanhas,5,4,3,2,1,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-21 13:33:57,2024-06-21 13:39:51,IP Address,189.62.44.79,100,353,True,2024-06-21 13:39:52,R_3jNBbSxVnMuLJxj,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos",Redes sociais,Promoter,10,"Qualidade dos produtos,Conforto","Preço,Diversificação de modelos",Sim,4,4,Acessa o site da marca diretamente,Rede Sociais,5,3,4,2,1,Menos que qualquer uma alternativa,4,Eventos sociais (festas e celebrações)
2024-06-21 14:49:28,2024-06-21 15:03:23,IP Address,104.28.63.107,100,835,True,2024-06-21 15:03:25,R_1N4ijrsqmRHx1gi,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Loja física,Promoter,10,"Qualidade dos produtos,Design,Trabalho artesanal","Conforto,Preço",Sim,4,4,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",Rede Sociais,5,4,3,2,1,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-21 17:28:58,2024-06-21 17:33:12,IP Address,179.133.93.249,100,254,True,2024-06-21 17:33:13,R_3FthrERvpwEe1yI,,,,,-23.3128,-51.1596,anonymous,EN,55 a 64 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos",Redes sociais,Promoter,9,"Qualidade dos produtos,Conforto","Conforto,Diversificação de modelos",Sim,5,4,Acessa o site da marca diretamente,Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) a cada três meses,4,"Ocasiões formais (como casamentos, formaturas ou eventos corporativos)"
2024-06-21 18:29:13,2024-06-21 18:32:48,IP Address,177.116.121.183,100,214,True,2024-06-21 18:32:48,R_1wsNlwjth7Vnkyx,,,,,-19.9877,-43.8447,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Paula Torres,Alexandre Birman",Recomendação de amigos/família,Promoter,9,"Qualidade dos produtos,Design,Inovação",Preço,Sim,4,4,Visita lojas físicas para experimentar pessoalmente,Rede Sociais,2,3,4,5,1,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-21 19:46:45,2024-06-21 19:50:12,IP Address,179.224.190.109,100,207,True,2024-06-21 19:50:13,R_3Si1seG9QjJ5ePT,,,,,-3.7138,-38.5285,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos",Loja física,Promoter,10,"Design,Inovação",Preço,Sim,5,5,Visita lojas físicas para experimentar pessoalmente,Rede Sociais,2,3,1,4,5,1 ou 2 vez(es) por mês,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-24 22:25:17,2024-06-24 22:33:32,IP Address,177.194.48.160,100,494,True,2024-06-24 22:33:33,R_5CYIkASIdrtPxNn,,,,,-22.9035,-47.0565,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Paula Torres,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Atualização de modelos,Inovação,Outros","Atualização de modelos,Preço,Diversificação de modelos",Sim,5,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews,Outros",Rede Sociais,5,4,2,3,1,1 ou 2 vez(es) a cada três meses,5,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-26 10:58:59,2024-06-26 11:02:49,IP Address,191.33.69.154,100,230,True,2024-06-26 11:02:50,R_7Jz5JoJcEqGNqmY,,,,,-10.9738,-37.1129,anonymous,EN,35 a 44 anos,Nordeste,Classe B: Renda familiar entre R$ 8.641 e R$ 11.261 por mês.,A cada 6 meses,Online,"Arezzo,Paula Torres,Alexandre Birman",Redes sociais,Promoter,10,"Design,Conforto,Inovação","Design,Atualização de modelos,Inovação",Sim,5,5,Procura pelo produto específico na internet,Rede Sociais,1,2,3,4,5,7 vezes por semana,5,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-21 11:06:30,2024-06-21 11:09:13,IP Address,187.102.136.81,60,163,False,2024-06-28 11:09:19,R_10O3AyknHtHA21F,,,,,,,anonymous,EN,25 a 34 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Loja física,Promoter,10,"Qualidade dos produtos,Design","Preço,Outros",Sim,,,,,,,,,,,,
2024-06-21 14:05:39,2024-06-21 14:10:53,IP Address,177.92.49.205,60,313,False,2024-06-28 14:10:54,R_1aFY8naqGrVw5Al,,,,,,,anonymous,EN,55 a 64 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Recomendação de amigos/família,,,Design,"Inovação,Preço",Sim,,,,,,,,,,,,
2024-07-23 12:11:22,2024-07-23 12:11:48,IP Address,191.10.137.219,100,26,True,2024-07-23 12:11:49,R_7qP55jreiGE8cK5,,,,,-8.0009,-34.8687,anonymous,EN,35 a 44 anos,Nordeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,
2024-07-23 12:11:14,2024-07-23 12:14:00,IP Address,201.17.123.5,100,165,True,2024-07-23 12:14:00,R_17po2YpaQ6aPizO,,,,,-22.9072,-43.1883,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Luiza Barcellos",Redes sociais,Passive,8,Design,Qualidade dos produtos,Sim,5,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Rede Sociais,3,4,2,5,1,1 ou 2 vez(es) na semana,2,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:11:45,2024-07-23 12:16:48,IP Address,163.116.233.48,100,303,True,2024-07-23 12:16:49,R_5UoBIvSmHyHxPaN,,,,,-23.5335,-46.6359,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Paula Torres,Alexandre Birman,Outras",Colaborações com outras marcas,Passive,8,"Trabalho artesanal,Atualização de modelos","Qualidade dos produtos,Trabalho artesanal,Diversificação de modelos",Sim,4,4,Busca tendências de moda em redes sociais,Influenciadores,5,4,3,2,1,1 ou 2 vez(es) por mês,3,Eventos sociais (festas e celebrações)
2024-07-23 12:14:00,2024-07-23 12:16:48,IP Address,177.21.140.71,100,168,True,2024-07-23 12:16:49,R_7G3v1VY5E6kVO8i,,,,,-21.2016,-50.4303,anonymous,EN,25 a 34 anos,Sudeste,Classe B: Renda familiar entre R$ 8.641 e R$ 11.261 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos",Redes sociais,Promoter,10,"Design,Conforto,Sustentabilidade","Design,Conforto,Exclusividade",Sim,5,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente",Rede Sociais,5,2,4,1,3,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:12:13,2024-07-23 12:19:12,IP Address,104.28.63.107,100,419,True,2024-07-23 12:19:13,R_5ElLTYQHXdFSMtL,,,,,-23.5335,-46.6359,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,8,"Qualidade dos produtos,Conforto","Design,Atualização de modelos,Inovação,Preço",Não,,4,"Procura pelo produto específico na internet,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Influenciadores,5,3,1,4,2,3 a 6 vezes na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-07-23 12:18:06,2024-07-23 12:20:36,IP Address,45.178.73.131,100,149,True,2024-07-23 12:20:36,R_17FkEI9sllmsoFz,,,,,20.4973,-87.2275,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,Luiza Barcellos,Outro,Detractor,2,Qualidade dos produtos,Preço,Sim,2,4,Busca tendências de moda em redes sociais,Campanhas,5,4,2,1,3,1 ou 2 vez(es) por mês,1,Eventos sociais (festas e celebrações)
2024-07-23 12:17:46,2024-07-23 12:20:43,IP Address,177.19.9.233,100,177,True,2024-07-23 12:20:44,R_7QrDTeMOpDKa5ot,,,,,-25.4202,-49.2762,anonymous,EN,35 a 44 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,8,Design,Preço,Sim,4,4,Acessa o site da marca diretamente,Outros,4,2,3,5,1,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:14:09,2024-07-23 12:20:48,IP Address,187.37.123.168,100,399,True,2024-07-23 12:20:49,R_55XrI0BMEbunzdn,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Loja física,Promoter,10,"Qualidade dos produtos,Design,Trabalho artesanal,Atualização de modelos,Inovação,Sustentabilidade","Conforto,Exclusividade",Sim,5,5,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Rede Sociais,5,4,3,2,1,3 a 6 vezes na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:14:16,2024-07-23 12:23:29,IP Address,186.204.56.210,100,552,True,2024-07-23 12:23:30,R_5R5AH0o0I1eqLVn,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,9,"Qualidade dos produtos,Conforto","Atualização de modelos,Preço,Diversificação de modelos",Sim,4,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente",Rede Sociais,5,4,2,1,3,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:13:00,2024-07-23 12:26:16,IP Address,189.98.240.3,100,795,True,2024-07-23 12:26:16,R_70oAshYl5Pqw4f6,,,,,-23.6283,-46.6409,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Loja física,Passive,8,"Design,Trabalho artesanal,Atualização de modelos",Qualidade dos produtos,Sim,1,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Campanhas,3,2,1,5,4,7 vezes por semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:13:29,2024-07-23 12:26:25,IP Address,208.98.219.27,100,776,True,2024-07-23 12:26:25,R_5xxRId4vB8hJHQR,,,,,49.282,-123.1103,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Tatiana Loureiro,Paula Torres,Alexandre Birman",Redes sociais,Promoter,9,"Qualidade dos produtos,Atualização de modelos","Conforto,Preço",Sim,3,5,Acessa o site da marca diretamente,Rede Sociais,5,2,1,3,4,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:22:27,2024-07-23 12:26:49,IP Address,191.57.4.83,100,262,True,2024-07-23 12:26:49,R_5PkNeEWFtMbW6IN,,,,,-22.9201,-43.0811,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Online,"Paula Torres,Luiza Barcellos,Outras",Colaborações com outras marcas,Promoter,9,"Qualidade dos produtos,Conforto","Preço,Diversificação de modelos",Sim,4,4,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Rede Sociais,5,2,3,1,4,1 ou 2 vez(es) na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-07-23 12:23:14,2024-07-23 12:27:59,IP Address,179.124.10.82,100,285,True,2024-07-23 12:27:59,R_5QJm6sTZXjJcK4r,,,,,-20.4428,-54.6464,anonymous,EN,45 a 54 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Recomendação de amigos/família,Promoter,10,"Qualidade dos produtos,Conforto",Diversificação de modelos,Sim,5,4,Acessa o site da marca diretamente,Campanhas,4,5,2,1,3,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:23:29,2024-07-23 12:30:01,IP Address,191.178.167.82,100,392,True,2024-07-23 12:30:01,R_623xmIvcTd8ZHhf,,,,,-2.5278,-44.3049,anonymous,EN,35 a 44 anos,Nordeste,Classe C: Renda familiar entre R$ 2.005 e R$ 8.640 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,8,"Design,Conforto","Qualidade dos produtos,Atualização de modelos,Preço",Sim,4,5,Acessa o site da marca diretamente,Rede Sociais,3,1,5,4,2,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:24:47,2024-07-23 12:31:11,IP Address,75.141.201.243,100,383,True,2024-07-23 12:31:12,R_64Bn6VKyuy72uD7,,,,,38.9129,-119.9878,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Tatiana Loureiro,Paula Torres,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal",Preço,Sim,4,4,Acessa o site da marca diretamente,Rede Sociais,5,4,3,2,1,3 a 6 vezes na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:27:22,2024-07-23 12:33:08,IP Address,189.96.232.63,100,345,True,2024-07-23 12:33:09,R_3LimWCO9O8patSx,,,,,-23.6283,-46.6409,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Design,Conforto",Preço,Sim,4,4,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Outros,5,4,3,2,1,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:27:30,2024-07-23 12:33:48,IP Address,187.90.200.75,100,377,True,2024-07-23 12:33:48,R_1BGu5pshqQDXnxv,,,,,-23.6283,-46.6409,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,9,"Qualidade dos produtos,Design,Conforto,Inovação","Design,Conforto,Preço",Sim,4,4,Acessa o site da marca diretamente,Rede Sociais,5,4,2,3,1,3 a 6 vezes na semana,4,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-07-23 12:29:09,2024-07-23 12:33:59,IP Address,186.231.49.194,100,290,True,2024-07-23 12:34:00,R_5fkli8YkrwmMWt8,,,,,-23.6283,-46.6409,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal,Atualização de modelos,Inovação,Sustentabilidade",Preço,Sim,5,5,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Campanhas,5,4,3,1,2,1 ou 2 vez(es) na semana,5,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-07-23 12:27:53,2024-07-23 12:34:30,IP Address,179.111.34.84,100,396,True,2024-07-23 12:34:31,R_8OIRMEHVZkHdMxD,,,,,-23.5335,-46.6359,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Conforto,Outros",Diversificação de modelos,Sim,5,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Outros",Outros,5,4,3,2,1,1 ou 2 vez(es) na semana,2,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-07-23 12:35:05,2024-07-23 12:35:50,IP Address,177.158.239.213,100,44,True,2024-07-23 12:35:50,R_1nMTVmN63jFh8tp,,,,,-15.3453,-47.1907,anonymous,EN,45 a 54 anos,Centro-Oeste,Classe D: Renda familiar entre R$ 1.255 e R$ 2.004 por mês.,,,,,,,,,,,,,,,,,,,,,
2024-07-23 12:26:11,2024-07-23 12:36:37,IP Address,177.26.243.177,100,625,True,2024-07-23 12:36:38,R_7DtCjWsxSISJfGy,,,,,-23.6283,-46.6409,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,Paula Torres,Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Atualização de modelos",Preço,Sim,5,4,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",Rede Sociais,5,2,4,3,1,3 a 6 vezes na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
